Manufacturer,xEV Model Name,Variant Name,Vehicle Type & Segment,Vehicle CMVR Category,Incentive Amount (In INR),Status,Links
Kinetic Green Energy & Power Solutions Ltd,ZING HSS,N/A,Two Wheeler ( e-2W ),L1,51000,ACTIVE,"{""Range (Km)"": ""125"", ""Max. Speed (Km/Hr)"": ""45.8"", ""Acceleration (m/s2)"": ""1.03"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""3.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.40"", ""Battery Density (Wh/Kg)"": ""199.5"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Ather Energy Pvt. Ltd.,ATHER 450,N/A,Two Wheeler ( e-2W ),L2,27000,EXPIRED,"{""Range (Km)"": ""105"", ""Max. Speed (Km/Hr)"": ""57.7"", ""Acceleration (m/s2)"": ""1.6"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.38"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""2.7"", ""Battery Density (Wh/Kg)"": ""260.4"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Ather Energy Pvt. Ltd.,Ather450,N/A,Two Wheeler ( e-2W ),L2,26732,EXPIRED,"{""Range (Km)"": ""105"", ""Max. Speed (Km/Hr)"": ""48"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.22"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""2.7"", ""Battery Density (Wh/Kg)"": ""260.4"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Ather Energy Pvt. Ltd.,Ather 450 X,N/A,Two Wheeler ( e-2W ),L2,29000,ACTIVE,"{""Range (Km)"": ""117"", ""Max. Speed (Km/Hr)"": ""78.3"", ""Acceleration (m/s2)"": ""1.87"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.1"", ""Battery Technology"": ""Li ion battery (Nickel Manganese Cobalt)"", ""Battery Capacity (kWh)"": ""2.9"", ""Battery Density (Wh/Kg)"": ""260"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Ather Energy Pvt. Ltd.,Ather 450X,N/A,Two Wheeler ( e-2W ),L2,55500,ACTIVE,"{""Range (Km)"": ""146"", ""Max. Speed (Km/Hr)"": ""79.3"", ""Acceleration (m/s2)"": ""2.7"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.0"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""260"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Jitendra New Ev Tech Pvt. Ltd.,JMT1000HS,N/A,Two Wheeler ( e-2W ),L1,19754,ACTIVE,"{""Range (Km)"": ""90.38"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""2.89"", ""Battery Technology"": ""Nickel-Manganese-Cobalt"", ""Battery Capacity (kWh)"": ""2.0"", ""Battery Density (Wh/Kg)"": ""201.1"", ""Battery cycle (No. of Cycles)"": ""1500""}"
Jitendra New Ev Tech Pvt. Ltd.,JMT 1000 HS CARGO,N/A,Two Wheeler ( e-2W ),L1,19720,ACTIVE,"{""Range (Km)"": ""88.33"", ""Max. Speed (Km/Hr)"": ""51.93"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""2.77"", ""Battery Technology"": ""Lithium Ion battery (Nickel Manganese Cobalt)"", ""Battery Capacity (kWh)"": ""2.0"", ""Battery Density (Wh/Kg)"": ""201.1"", ""Battery cycle (No. of Cycles)"": ""1500""}"
Jitendra New Ev Tech Pvt. Ltd.,JMT 1000 48V,N/A,Two Wheeler ( e-2W ),L1,22000,EXPIRED,"{""Range (Km)"": ""83"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""3.34"", ""Battery Technology"": ""Lithium Iron NMC"", ""Battery Capacity (kWh)"": ""2.2"", ""Battery Density (Wh/Kg)"": ""220"", ""Battery cycle (No. of Cycles)"": ""3000""}"
Jitendra New Ev Tech Pvt. Ltd.,DREAM 1.2PV,N/A,Three Wheeler ( e-3W ),e-rickshaw,38746,EXPIRED,"{""Range (Km)"": ""97.8"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.9"", ""Battery Technology"": ""Lithium Iron phosphate"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""143"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Jitendra New Ev Tech Pvt. Ltd.,DREAM 1.2CV,N/A,Three Wheeler ( e-3W ),e-cart,38746,EXPIRED,"{""Range (Km)"": ""97.8"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.9"", ""Battery Technology"": ""Lithium Iron phosphate"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""143"", ""Battery cycle (No. of Cycles)"": ""2000""}"
